if then|S-S-CC-NULL
and|CC-S-*COMMA*-SINV
so that|SBAR-VP-*COMMA*-NULL
For example|PP-SQ-NULL-*COMMA*
if then|SBAR-VP-*COMMA*-NULL
Now that|ADVP-S-NULL-PRN
if|IN-ADVP-NULL-NULL
and|CC-NP-NULL-NULL
Nor|CC-S-NULL-VBP
thereafter|RB-ADVP-NULL-NULL
and|CC-S-S-S
later|RB-SBAR-NULL-S
If|IN-SBAR-NULL-FRAG
so|IN-S-CC-S
then|RB-S-CC-*COMMA*
Besides|IN-ADVP-NULL-NULL
And|CC-S-*COMMA*-S
And|CC-S-``-NP
rather|RB-ADVP-NULL-NULL
simultaneously|RB-CONJP-CC-NULL
and|CC-SBAR-*COMMA*-PRN
if|IN-WHNP-NULL-NULL
Separately|RB-ADVP-NULL-NULL
Yet|CC-S-NULL-S
or|CC-SBAR-*COMMA*-SBAR
as|IN-SBAR-NULL-S
Also|RB-ADJP-NULL-VBN
now that|SBAR-S-NULL-NP
and|CC-NP-NNS-NNS
for instance|PP-PRN-*COMMA*-*COMMA*
in particular|PP-PP-CC-NULL
instead|RB-VP-CC-VP
and|CC-S-PRN-S
But|CC-SBARQ-NULL-SQ
while|IN-PP-NULL-S
but|CC-S-PRN-S
in fact|PP-VP-VBD-NULL
meantime|NN-NP-DT-NULL
so|IN-S-S-S
as long as|ADVP-VP-VB-S
Then|RB-NP-NULL-NULL
afterwards|RB-ADVP-NULL-NULL
IF|IN-PP-NULL-PP
and|CC-UCP-ADJP-S
But|CC-S-NULL-``
Hence|RB-ADJP-NULL-JJ
by then|PP-S-CC-*COMMA*
However|RB-ADVP-NULL-NULL
specifically|RB-ADVP-NULL-NULL
if|IN-PP-NULL-NP
likewise|RB-ADVP-NULL-NULL
Or|CC-S-NULL-NP
and|CC-S-*COMMA*-SQ
nonetheless|RB-ADVP-NULL-NULL
for example|PP-VP-*COMMA*-NULL
But|CC-S-``-ADVP
before|IN-SBAR-NULL-S
Similarly|RB-ADVP-NULL-NULL
later|RB-ADVP-RB-NULL
When and if|SBAR-S-NULL-PRN
Except|IN-SBAR-NULL-S
but|CC-S-''-S
But|CC-S-NULL-NP
as a result|PP-VP-NP-NULL
and|CC-NX-*COMMA*-NX
since|IN-PRN-*COMMA*-S
and|CC-NP-NN-*COMMA*
Still|RB-ADVP-NULL-NULL
and|CC-S-S-PRN
then|RB-ADVP-CC-NULL
before|IN-SBAR-NP-S
By comparison|PP-S--LRB--*COMMA*
on the other hand|PP-S-*COMMA*-*COMMA*
and|CC-NP-NP-PRN
By contrast|PP-S-NULL-*COMMA*
In short|PP-S-NULL-*COLON*
Until|IN-PP-NULL-NP
so|IN-S-PRN-S
yet|RB-ADVP-NULL-NULL
but|CC-S-S-ADVP
On the contrary|PP-S-NULL-*COMMA*
and|CC-NP-*COMMA*-S
as long as|ADVP-VP-``-NULL
as if|SBAR-VP-VB-NULL
indeed|RB-NP-NULL-NULL
If then|S-NULL-NULL-NULL
as well|ADVP-VP-PP-NULL
but|CC-VP-''-VP
and|CC-VP-*COMMA*-ADVP
By then|PP-S-NULL-*COMMA*
before|IN-SBAR-RB-S
then|RB-QP-NULL-TO
but|CC-S-*COLON*-SQ
but|CC-VP-*COMMA*-ADVP
Moreover|RB-ADVP-NULL-NULL
or|CC-S-S-S
but|CC-S-*COMMA*-RB
simultaneously|RB-ADVP-NULL-NULL
but|CC-S-*COLON*-S
as soon as|ADVP-S-NULL-NP
if then|S-NULL-NULL-NULL
but|CC-NP-*COMMA*-SBAR
since|IN-SBAR-ADVP-S
also|RB-CONJP-CC-NULL
and|CC-S-S-``
But|CC-FRAG-NULL-SBAR
as a result|PP-VP-VB-NULL
then|RB-NP-*COMMA*-NP
so that|SBAR-VP-ADJP-NULL
Whereas|NNS-NP-NULL-NULL
if then|SBAR-S-NULL-NP
or|CC-PRN-*COMMA*-SBAR
So|RB-S-NULL-PP
Either or|S-SINV-``-*COMMA*
consequently|RB-ADVP-NULL-NULL
Or|CC-SQ-NULL-MD
Or|CC-ADVP-NULL-NULL
while|IN-PP-NULL-UCP
as well|ADVP-VP-ADVP-NULL
except|IN-PP-NULL-S
though|RB-ADVP-NULL-NULL
Yet|CC-S-NULL-ADVP
But|CC-S-``-VP
Previously|RB-ADVP-NULL-NULL
then|RB-SBAR-NULL-IN
or|CC-SBAR-*COMMA*-S
Nonetheless|RB-ADVP-NULL-NULL
now that|SBAR-S-CC-*COMMA*
But|CC-S-NULL-*COMMA*
because|NONE_TREE
but|CC-S-SINV-S
For instance|SBAR-NULL-NULL-NULL
after|IN-SBAR-NP-S
still|RB-ADVP-RB-NULL
before|IN-PP-NP-NP
after|IN-SBAR-RB-S
In fact|PP-S-NULL-*COMMA*
Yet|RB-S-NULL-RB
yet|CC-SBAR-*COMMA*-SBAR
since|IN-PP-NULL-NP
Furthermore|RB-ADVP-NULL-NULL
so that|SBAR-VP-*COLON*-NULL
but|CC-S-*COMMA*-PRN
now that|ADVP-SQ-NULL-*COMMA*
When|WRB-WHADVP-NULL-NULL
as a result|PP-S-*COMMA*-*COMMA*
if and when|UCP-VP-VBP-NULL
Next|JJ-ADVP-NULL-NULL
When|NONE_TREE
Finally|RB-ADVP-NULL-NULL
And|CC-S-``-ADVP
neither nor|VP-S-NULL-NULL
Then|RB-S-NULL-NP
and|CC-S-S-RB
besides|IN-PP-NULL-NP
ONCE|VBG-VP-NULL-NP
So|RB-S-NULL-PRN
Then|RB-S-NULL-PRN
although|IN-SBAR-NULL-``
in fact|PP-S-NULL-NP
and|CC-NP-*COLON*-PRN
nevertheless|RB-ADVP-NULL-NULL
yet|RB-VP-CC-VP
as soon as|SBAR-VP-*COMMA*-NULL
in other words|PP-S-*COMMA*-*COMMA*
after|IN-PP-RB-S
though|IN-ADVP-NULL-RB
for instance|PP-S-NP-NULL
as|IN-PP-JJ-NP
as a result|PP-ADVP-RB-NULL
meanwhile|NN-NP-DT-NULL
Nor|CC-SQ-NULL-VBD
but|CC-UCP-NP-RB
Or|CC-S-NULL-PP
for example|PP-S-*COMMA*-PRN
because|IN-SBAR-NULL-``
but|CC-S-*COMMA*-``
In fact|PP-S-NULL-PRN
and|CC-PRN-*COLON*-S
while|IN-PP-NULL-PP
Hence|RB-ADVP-NULL-NULL
as if|SBAR-VP-NP-*COMMA*
so|IN-S-*COLON*-*COMMA*
In addition|PP-S-NULL-*COMMA*
and|CC-NP-NN-PRN
while|IN-PP-NULL-ADJP
Plus|NNP-ADVP-NULL-NULL
yet|RB-ADVP-*COMMA*-NULL
then|RB-VP-CC-VP
Overall|RB-ADVP-NULL-NULL
as soon as|CONJP-VP-*COMMA*-VP
otherwise|RB-VP-CC-VP
By comparison|PP-S-NULL-*COMMA*
accordingly|RB-ADVP-NULL-NULL
as well|ADVP-ADVP-NULL-SBAR
and|CC-S-*COMMA*-S
afterward|RB-ADVP-NULL-NULL
as a result|PP-S-CC-PRN
and|CC-S-*COMMA*-X
then|RB-ADVP-RB-NULL
If|IN-PP-NULL-NP
though|IN-SBAR-NULL-FRAG
furthermore|RB-ADVP-NULL-NULL
Then|RB-ADVP-NULL-RB
while|IN-PP-NULL-NP
simultaneously|RB-ADVP-RB-NULL
Insofar as|S-NULL-NULL-NULL
although|IN-SBAR-NULL-S
In the end|PP-S-``-*COMMA*
and|CC-VP-*COLON*-``
as soon as|ADVP-S-*COMMA*-*COMMA*
and|CC-S-*COLON*-S
As a result|PP-S-NULL-PRN
and|CC-NP-''-NP
Besides|RB-ADVP-NULL-NULL
or|CC-NP-*COLON*-SBAR
But|CC-S-NULL-SBAR
once|RB-ADJP-NULL-NN
but|CC-VP-*COLON*-PRN
and|CC-S-*COMMA*-PP
because|IN-SBAR-NULL-S
Instead|RB-ADVP-NULL-NULL
after|IN-PP-NULL-S
in fact|PP-VP-*COMMA*-NULL
So|RB-S-NULL-SBAR
Now that|ADVP-S-NULL-*COMMA*
in particular|PP-NP-NP-NULL
while|IN-PP-NULL-IN
Although|IN-SBAR-NULL-*COMMA*
But|CC-FRAG-NULL-WP
And|CC-SBARQ-NULL-WHADVP
as well|ADVP-VP-VB-NULL
but|CC-SBAR-*COMMA*-SBAR
before|IN-PP-ADVP-NP
though|RB-SBAR-NULL-IN
so|RB-S-CC-S
Yet|CC-S-NULL-PP
for instance|PP-S-*COMMA*-*COMMA*
by then|PP-S-NULL-VP
